,id,tconst,release_date,revenue,budget
0,524288,tt6939026,2018-04-05,0,0
1,524303,,2012-12-07,0,0
2,262162,tt2676440,2011-01-20,0,0
3,262164,tt3238168,2016-09-23,0,0
4,262165,tt2488366,2014-03-31,0,100000
5,262169,tt2822578,2015-10-02,0,0
6,27,tt0411705,2004-05-16,1574623,1000000
7,262175,tt3397838,2014-01-01,0,50000
8,393257,tt2575382,2015-12-10,0,0
9,262199,tt3596842,2014-03-24,0,300000
10,62,tt0062622,1968-04-02,71923560,12000000
11,393283,tt5331258,2015-12-01,0,0
12,90,tt0086960,1984-11-30,316360478,14000000
13,393306,tt3343868,2017-01-19,0,0
14,93,tt0052561,1959-07-01,8000000,2000000
15,95,tt0120591,1998-07-01,553799566,140000000
16,97,tt0084827,1982-07-09,33000000,17000000
17,393316,tt4106080,2015-05-25,0,0
18,393318,tt4630786,2015-05-01,0,0
19,393332,tt4175378,2015-04-18,0,0
20,262267,tt1935104,2012-10-20,0,125000
21,393340,,2012-02-12,0,0
22,129,tt0245429,2001-07-20,274925095,19000000
23,393345,tt3280262,2017-10-23,2200000,6500000
24,524423,tt4643048,2018-05-31,0,0
25,393355,tt2923256,2013-09-05,0,0
26,143,tt0020629,1930-04-29,3270000,1448864
27,524433,,2017-10-01,0,0
28,131220,tt2120779,2012-03-03,0,0
29,393368,tt5503512,2016-03-10,0,0
30,524442,tt8362726,2018-05-12,0,0
31,262311,tt3776402,2014-10-17,0,0
32,524460,tt8421958,2016-02-09,0,0
33,262320,tt1356405,2011-09-04,0,0
34,176,tt0387564,2004-10-01,103911669,1200000
35,189,tt0458481,2014-08-20,39407616,65000000
36,262338,tt1361318,2014-08-12,0,0
37,262340,tt3433074,2014-06-27,23000000,5900000
38,393425,tt2828310,2018-06-15,0,0
39,262357,tt2515164,2013-04-05,0,0
40,524504,tt6283702,2016-07-09,0,0
41,221,tt0048545,1955-10-29,199963,1500000
42,393443,tt5538078,2016-04-17,0,0
43,393445,tt4559006,2016-10-27,0,0
44,239,tt0053291,1959-03-19,25000000,2883848
45,393457,tt2671706,2016-12-16,64414761,24000000
46,262391,tt2800240,2014-04-16,176404493,13000000
47,262392,tt1869297,2011-03-20,0,0
48,393488,tt4955938,2016-01-01,0,0
49,280,tt0103064,1991-07-03,520000000,102000000
50,393498,tt5192436,2016-04-18,0,0
51,262436,tt1698652,2015-03-13,0,0
52,393510,tt3201714,2012-07-01,0,0
53,393511,tt3603104,2016-04-06,0,0
54,393513,tt4933472,2016-04-20,0,0
55,393519,tt4954522,2016-11-11,4100000,3500000
56,311,tt0087843,1984-05-23,5472914,30000000
57,131389,tt1677709,2010-01-01,0,0
58,393544,tt5571346,2016-10-13,0,3000
59,524623,tt7211004,2012-10-31,0,0
60,262481,tt2246565,2014-04-18,0,0
61,524627,tt9477000,2018-05-18,0,0
62,393559,tt2321405,2016-10-12,5873256,8000000
63,393561,tt4964772,2017-05-05,197621,0
64,393562,tt5662932,2016-06-24,1013926,521873
65,262500,tt2908446,2015-03-18,295238201,110000000
66,262504,tt3410834,2016-03-09,179246868,110000000
67,524667,,2018-05-16,0,0
68,387,tt0082096,1981-09-17,85000000,14000000
69,393603,tt3485800,2016-04-09,0,0
70,262543,tt1971325,2014-10-09,0,7000000
71,393621,tt7141672,2016-03-01,0,0
72,262551,tt3013602,2014-04-16,20258904,3400000
73,393625,tt7142058,2015-03-01,0,0
74,393627,tt5635006,2016-05-03,0,0
75,393629,tt4682866,2016-01-23,0,220093
76,424,tt0108052,1993-11-30,321365567,22000000
77,393643,tt4030898,2014-04-27,0,0
78,393651,tt5643934,2016-04-13,0,0
79,262584,tt2041529,2014-04-19,0,0
80,393656,tt5615976,2016-05-21,0,0
81,393658,tt5605328,2016-05-14,0,0
82,393659,tt5692030,2016-06-04,0,0
83,524738,tt8765496,2018-08-09,0,0
84,262609,tt1662628,2010-06-19,0,0
85,262621,tt3299604,2014-02-21,0,0
86,489,tt0119217,1997-12-05,225933435,10000000
87,490,tt0050976,1957-02-16,0,0
88,524788,tt6857040,2018-12-07,0,0
89,393717,tt4428728,2016-05-04,0,0
90,524789,tt6793280,2018-07-13,0,0
91,393732,tt5160928,2016-10-21,0,0
92,393737,tt5790274,2016-06-12,0,0
93,525,tt0080455,1980-06-16,115229890,27000000
94,393741,tt5544988,2016-04-17,0,0
95,393751,tt5079674,2015-10-01,0,0
96,393760,,2011-04-20,0,0
97,262692,tt2466622,2014-04-19,0,0
98,262693,tt1998392,2013-08-06,0,0
99,393765,tt4978274,2016-10-14,0,0
100,393773,tt5174704,2016-04-26,0,0
101,393774,tt5529254,2016-04-20,0,0
102,131631,tt1951265,2014-11-19,752100229,125000000
103,131634,tt1951266,2015-11-18,653428261,160000000
104,568,tt0112384,1995-06-30,355237933,52000000
105,393789,tt5262444,2016-01-16,0,0
106,131655,tt2101468,2011-11-06,0,0
107,131659,,2011-01-01,0,0
108,262733,tt3298690,2014-03-06,1677946,2500000
109,393806,,2016-04-17,0,0
110,262735,tt3645254,2012-04-16,0,0
111,393808,tt5652038,2016-04-20,0,0
112,131668,tt2401069,2012-09-08,0,0
113,131669,,2012-07-31,0,0
114,262742,tt1411762,2010-04-16,0,0
115,131673,tt2072134,2012-05-31,0,0
116,393819,tt1658840,2013-10-20,0,0
